index,value
0,15136.0
1,16733.0
2,20016.0
3,17708.0
4,18019.0
5,19227.0
6,22893.0
7,23739.0
8,21133.0
9,22591.0
10,26786.0
11,29740.0
12,15028.0
13,17977.0
14,20008.0
15,21354.0
16,19498.0
17,22125.0
18,25817.0
19,28779.0
20,20960.0
21,22254.0
22,27392.0
23,29945.0
24,16933.0
25,17892.0
26,20533.0
27,23569.0
28,22417.0
29,22084.0
30,26580.0
31,27454.0
32,24081.0
33,23451.0
34,28991.0
35,31386.0
36,16896.0
37,20045.0
38,23471.0
39,21747.0
40,25621.0
41,23859.0
42,25500.0
43,30998.0
44,24475.0
45,23145.0
46,29701.0
47,34365.0
48,17556.0
49,22077.0
50,25702.0
51,22214.0
52,26886.0
53,23191.0
54,27831.0
55,35406.0
56,23195.0
57,25110.0
58,30009.0
59,36242.0
60,18450.0
61,21845.0
62,26488.0
63,22394.0
64,28057.0
65,25451.0
66,24872.0
67,33424.0
68,24052.0
69,28449.0
70,33533.0
71,37351.0
72,19969.0
73,21701.0
74,26249.0
75,24493.0
76,24603.0
77,26485.0
78,30723.0
79,34569.0
80,26689.0
81,26157.0
82,32064.0
83,38870.0
84,21337.0
85,19419.0
86,23166.0
87,28286.0
88,24570.0
89,24001.0
90,33151.0
91,24878.0
92,26804.0
93,28967.0
94,33311.0
95,40226.0
96,20504.0
97,23060.0
98,23562.0
99,27562.0
100,23940.0
101,24584.0
102,34303.0
103,25517.0
104,23494.0
105,29095.0
106,32903.0
107,34379.0
108,16991.0
109,21109.0
110,23740.0
111,25552.0
112,21752.0
113,20294.0
114,29009.0
115,25500.0
116,24166.0
117,26960.0
118,31222.0
119,38641.0
120,14672.0
121,17543.0
122,25453.0
123,32683.0
124,22449.0
125,22316.0
126,27595.0
127,25451.0
128,25421.0
129,25288.0
130,32568.0
131,35110.0
132,16052.0
133,22146.0
134,21198.0
135,19543.0
136,22084.0
137,23816.0
138,29961.0
139,26773.0
140,26635.0
141,26972.0
142,30207.0
143,38687.0
144,16974.0
145,21697.0
146,24179.0
147,23757.0
148,25013.0
149,24019.0
150,30345.0
151,24488.0
152,25156.0
153,25650.0
154,30923.0
155,37240.0
156,17466.0
157,19463.0
158,24352.0
159,26805.0
160,25236.0
161,24735.0
162,29356.0
163,31234.0
164,22724.0
165,28496.0
166,32857.0
167,37198.0
168,13652.0
169,22784.0
170,23565.0
171,26323.0
172,23779.0
173,27549.0
174,29660.0
175,23356.0
