index,value
0,118.0
1,132.0
2,129.0
3,121.0
4,135.0
5,148.0
6,148.0
7,136.0
8,119.0
9,104.0
10,118.0
11,115.0
12,126.0
13,141.0
14,135.0
15,125.027
16,149.064
17,169.898
18,169.654
19,158.608
20,132.749
21,114.0
22,140.0
23,145.0
24,150.0
25,178.0
26,163.0
27,172.0
28,178.0
29,199.0
30,199.0
31,184.0
32,162.0
33,146.0
34,166.0
35,171.0
36,180.0
37,193.0
38,181.0
39,183.0
40,218.0
41,230.0
42,242.0
43,209.0
44,191.0
45,172.0
46,194.0
47,196.0
48,196.0
49,236.0
50,235.0
51,229.0
52,243.0
53,263.993
54,271.984
55,236.975
56,210.964
57,180.005
58,201.067
59,204.125
60,188.196
61,234.962
62,226.602
63,233.832
64,264.221
65,302.125
66,292.959
67,258.984
68,229.007
69,203.0
70,229.0
71,242.0
72,233.0
73,267.0
74,269.0
75,270.0
76,315.0
77,364.0
78,347.0
79,312.0
80,274.0
81,237.0
82,278.0
83,284.0
84,277.0
85,317.0
86,313.0
87,318.0
88,374.0
89,413.0
90,405.0
91,355.0
92,306.0
93,271.0
94,306.0
95,315.0
96,301.0
97,356.0
98,348.0
99,355.0
100,422.0
101,465.0
102,467.0
103,404.0
104,347.0
105,305.0
106,336.0
107,340.0
108,318.0
109,362.0
110,348.0
111,363.0
112,435.0
113,491.0
114,505.0
115,404.0
116,359.0
117,310.0
118,337.0
119,360.0
120,342.0
121,406.0
122,396.0
123,420.0
124,472.0
125,548.0
126,559.0
127,463.0
128,407.0
129,362.0
130,405.0
131,417.0
132,391.0
133,419.0
134,461.0
135,472.0
136,535.0
137,622.0
138,606.0
139,508.0
140,461.0
141,390.0
142,432.0
