index,value
20200410.0,2036047.0
20200409.0,1916737.0
20200408.0,1788294.0
20200407.0,1678891.0
20200406.0,1561229.0
20200405.0,1440733.0
20200404.0,1344104.0
20200403.0,1148372.0
20200402.0,1048251.0
20200401.0,954534.0
20200331.0,876287.0
20200330.0,793614.0
20200329.0,696372.0
20200328.0,622779.0
20200327.0,534249.0
20200326.0,442281.0
20200325.0,363191.0
20200324.0,296585.0
20200323.0,240160.0
20200322.0,195106.0
20200321.0,157536.0
20200320.0,118970.0
20200319.0,88939.0
20200318.0,67168.0
20200317.0,48053.0
20200316.0,36104.0
20200315.0,22624.0
20200314.0,17102.0
20200313.0,13613.0
20200312.0,8041.0
20200311.0,6106.0
20200310.0,3812.0
20200309.0,3344.0
20200308.0,2335.0
20200307.0,1839.0
20200306.0,1588.0
20200305.0,970.0
20200304.0,759.0
20200303.0,6.0
20200302.0,
20200301.0,
20200229.0,
20200228.0,
