index,value
0,180.0
1,179.0
2,185.0
3,192.0
4,211.0
5,202.0
6,207.0
7,214.0
8,231.0
9,229.0
10,234.0
11,237.0
12,206.0
13,250.0
14,259.0
15,263.0
16,264.0
17,280.0
18,282.0
19,292.0
20,286.0
21,302.0
22,304.0
23,307.0
24,317.0
25,314.0
26,306.0
27,304.0
28,292.0
29,275.0
30,273.0
31,301.0
32,280.0
33,289.0
34,303.0
35,322.0
36,315.0
37,339.0
38,364.0
39,371.0
40,375.0
41,432.0
42,453.0
43,460.0
44,475.0
45,496.0
46,494.0
47,498.0
48,526.0
49,519.0
50,516.0
51,531.0
52,573.0
53,551.0
54,538.0
55,532.0
56,558.0
57,524.0
58,525.0
59,519.0
60,526.0
61,510.0
62,519.0
63,538.0
64,549.0
65,570.0
66,559.0
67,584.0
68,611.0
69,597.0
70,603.0
71,619.0
72,635.0
73,658.0
74,675.0
75,700.0
