index,value
0,58.0
1,73.3
2,70.0
3,35.0
4,44.0
5,0.0
6,10.2
7,12.5
8,14.1
9,37.6
10,48.3
11,67.3
12,70.0
13,43.8
14,56.5
15,59.7
16,24.0
17,12.0
18,27.4
19,53.5
20,73.9
21,104.0
22,36.0
23,100.9
24,54.6
25,46.8
26,4.4
27,21.7
28,45.0
29,177.3
30,114.7
31,70.0
32,98.7
33,54.0
34,28.0
35,13.0
36,6.5
37,37.2
38,134.7
39,138.0
40,114.0
41,103.0
42,72.7
43,58.0
44,56.0
45,45.0
46,21.4
47,22.0
48,14.4
49,2.0
50,1.6
51,6.9
52,27.0
53,47.8
54,50.0
55,45.3
56,61.0
57,39.0
58,12.0
59,0.0
60,7.2
61,0.0
62,0.0
63,11.3
64,0.0
65,22.2
66,19.2
67,26.3
68,36.4
69,34.9
70,32.5
71,19.2
72,21.5
73,0.0
74,0.0
75,21.6
76,5.0
77,17.7
78,34.6
79,52.8
80,43.0
81,52.2
82,47.5
83,30.9
84,11.3
85,4.9
86,7.5
87,88.6
88,188.0
89,144.9
90,107.6
91,81.2
92,24.0
93,20.4
94,13.3
95,9.4
96,25.7
97,38.7
98,62.6
99,159.1
100,156.7
101,78.0
102,75.5
103,68.4
104,41.1
105,15.4
106,12.3
107,0.5
108,13.7
109,39.0
110,83.7
111,81.5
112,62.3
113,63.1
114,48.3
115,57.7
116,48.7
117,31.6
118,0.0
119,15.6
120,60.9
121,77.3
122,88.3
123,79.5
124,86.7
125,60.8
126,14.6
127,14.3
128,24.4
129,3.3
130,0.8
131,24.0
132,36.4
133,45.0
134,60.6
135,91.5
136,42.8
137,29.9
138,10.3
139,12.7
140,0.8
141,5.3
142,13.5
143,69.1
144,75.0
145,83.2
146,63.3
147,29.0
148,40.6
149,30.2
150,19.5
151,9.4
152,0.2
153,5.2
154,8.3
155,31.6
156,54.8
157,45.5
158,76.4
159,39.2
160,56.7
161,26.4
162,3.4
163,0.3
164,2.3
165,2.8
166,23.0
167,45.3
168,74.7
169,96.0
170,48.1
171,51.1
172,31.5
173,11.8
174,4.5
175,0.5
176,5.5
177,71.8
178,81.6
179,83.5
180,68.9
181,65.3
182,14.6
183,12.1
184,12.3
185,3.4
186,18.9
187,62.8
188,132.5
189,98.4
190,80.3
191,50.5
192,45.6
193,35.6
194,12.4
195,3.7
196,18.5
197,47.6
198,115.7
199,108.5
200,119.1
201,101.6
202,59.9
203,40.7
204,26.5
205,0.2
206,23.1
207,73.6
208,165.0
209,202.5
210,217.4
211,146.3
212,57.9
213,38.7
214,19.8
215,15.3
216,17.5
217,28.2
218,110.9
219,121.8
220,104.4
221,111.5
222,91.3
223,61.5
224,43.4
225,27.6
226,18.9
227,8.1
228,16.4
229,51.9
230,166.6
231,159.6
232,114.0
233,111.2
234,84.3
