index,value
0,110.94
1,110.69
2,110.43
3,110.56
4,110.75
5,110.84
6,110.46
7,110.56
8,110.46
9,110.05
10,109.6
11,109.31
12,109.31
13,109.25
14,109.02
15,108.54
16,108.77
17,109.02
18,109.44
19,109.38
20,109.53
21,109.89
22,110.56
23,110.56
24,110.72
25,111.23
26,111.48
27,111.58
28,111.9
29,112.19
30,112.06
31,111.96
32,111.68
33,111.36
34,111.42
35,112.0
36,112.22
37,112.7
38,113.15
39,114.36
40,114.65
41,115.06
42,115.86
43,116.4
44,116.44
45,116.88
46,118.07
47,118.51
48,119.28
49,119.79
50,119.7
51,119.28
52,119.66
53,120.14
54,120.97
55,121.13
56,121.55
57,121.96
58,122.26
59,123.79
60,124.11
61,124.14
62,123.37
63,123.02
64,122.86
65,123.02
66,123.11
67,123.05
68,123.05
69,122.83
70,123.18
71,122.67
72,122.73
73,122.86
74,122.67
75,122.09
76,122.0
77,121.23
