index,value
1960-06-06,56.89
1960-06-07,57.43
1960-06-08,57.89
1960-06-09,58.0
1960-06-10,57.97
1960-06-13,57.99
1960-06-14,57.91
1960-06-15,57.57
1960-06-16,57.5
1960-06-17,57.44
1960-06-20,57.16
1960-06-21,57.11
1960-06-22,57.28
1960-06-23,57.59
1960-06-24,57.68
1960-06-27,57.33
1960-06-28,56.94
1960-06-29,56.94
1960-06-30,56.92
1960-07-01,57.06
1960-07-05,57.02
1960-07-06,56.94
1960-07-07,57.24
1960-07-08,57.38
1960-07-11,56.87
1960-07-12,56.25
1960-07-13,56.1
1960-07-14,56.12
1960-07-15,56.05
1960-07-18,55.7
1960-07-19,55.7
1960-07-20,55.61
1960-07-21,55.1
1960-07-22,54.72
1960-07-25,54.18
1960-07-26,54.51
1960-07-27,54.17
1960-07-28,54.57
1960-07-29,55.51
1960-08-01,55.53
1960-08-02,55.04
1960-08-03,54.72
1960-08-04,54.89
1960-08-05,55.44
1960-08-08,55.52
1960-08-09,55.84
1960-08-10,56.07
1960-08-11,56.28
1960-08-12,56.66
1960-08-15,56.61
1960-08-16,56.72
1960-08-17,56.84
1960-08-18,56.81
1960-08-19,57.01
1960-08-22,57.19
1960-08-23,57.75
1960-08-24,58.07
1960-08-25,57.79
1960-08-26,57.6
1960-08-29,57.44
1960-08-30,56.84
1960-08-31,56.96
1960-09-01,57.09
1960-09-02,57.0
1960-09-06,56.49
1960-09-07,55.79
1960-09-08,55.74
1960-09-09,56.11
1960-09-12,55.77
1960-09-13,55.83
1960-09-14,55.44
1960-09-15,55.22
1960-09-16,55.11
1960-09-19,53.86
1960-09-20,54.01
1960-09-21,54.57
1960-09-22,54.36
1960-09-23,53.9
1960-09-26,53.06
1960-09-27,52.94
1960-09-28,52.48
1960-09-29,52.62
1960-09-30,53.52
1960-10-03,53.36
1960-10-04,52.99
1960-10-05,53.39
1960-10-06,53.72
1960-10-07,54.03
1960-10-10,54.14
1960-10-11,54.22
1960-10-12,54.15
1960-10-13,54.57
1960-10-14,54.88
1960-10-17,54.63
1960-10-18,54.35
1960-10-19,54.25
1960-10-20,53.86
1960-10-21,53.32
1960-10-24,52.7
1960-10-25,52.3
1960-10-26,53.05
1960-10-27,53.62
1960-10-28,53.41
1960-10-31,53.39
1960-11-01,53.94
1960-11-02,54.22
1960-11-03,54.43
1960-11-04,54.9
1960-11-07,55.11
1960-11-09,55.35
1960-11-10,56.13
1960-11-11,55.87
1960-11-14,55.59
1960-11-15,55.81
1960-11-16,55.7
1960-11-17,55.55
1960-11-18,55.82
1960-11-21,55.93
1960-11-22,55.72
1960-11-23,55.8
1960-11-24,56.13
1960-11-25,56.13
1960-11-28,56.03
1960-11-29,55.83
1960-11-30,55.54
1960-12-01,55.3
1960-12-02,55.39
1960-12-05,55.31
1960-12-06,55.47
1960-12-07,56.02
1960-12-08,56.15
1960-12-09,56.65
1960-12-12,56.85
1960-12-13,56.88
1960-12-14,56.84
