index,value
0,-18.3237
1,-18.2232
2,-18.0974
3,-17.941
4,-17.748
5,-17.5113
6,-17.223
7,-16.8744
8,-16.4558
9,-15.9565
10,-15.3653
11,-14.6701
12,-13.8586
13,-12.9182
14,-11.8363
15,-10.6008
16,-9.2006
17,-7.6257
18,-5.868
19,-3.9217
20,-1.7839
21,0.5452
22,3.0614
23,5.7562
24,8.6167
25,11.6252
26,14.7591
27,17.9909
28,21.2884
29,24.6155
30,27.9319
31,31.1947
32,34.3587
33,37.3775
34,40.2049
35,42.7957
36,13.2164
37,14.2125
38,15.0317
39,15.6595
40,16.0845
41,16.299
42,16.299
43,16.0845
44,15.6595
45,15.0317
46,14.2125
47,13.2164
48,12.0608
49,10.7654
50,9.3517
51,34.3587
52,31.1947
53,27.9319
54,24.6155
55,21.2884
56,17.9909
57,14.7591
58,11.6252
59,8.6167
60,5.7562
61,3.0614
62,0.5452
63,-1.7839
64,-3.9217
65,-5.868
66,-7.6257
67,-9.2006
68,-10.6008
69,-11.8363
70,-12.9182
71,-13.8586
72,-14.6701
73,-15.3653
74,-15.9565
75,-16.4558
76,-16.8744
77,-17.223
78,-17.5113
79,-17.748
80,-17.941
81,-18.0974
82,-18.2232
83,-18.3237
84,-18.4035
85,-18.008
86,-17.8889
87,-17.7403
88,-17.5533
89,-17.3156
90,-17.0102
91,-16.6129
92,-16.0884
93,-15.3848
94,-14.4239
95,-13.084
96,-11.1708
97,-8.3634
98,-4.1098
99,2.5833
100,13.6048
101,32.7934
102,28.0187
103,10.966
104,1.0776
105,-4.9459
106,-8.7354
107,-11.1225
108,-12.4865
109,-12.8019
110,-11.205
111,-3.3124
112,1.8995
113,-11.3573
114,-15.0684
115,-16.5028
116,-17.1937
117,-17.5831
118,-17.8288
119,-17.9968
120,-18.1185
121,-18.2103
122,-18.2818
123,-18.3388
124,-18.3849
125,-18.4229
126,-18.4545
127,-18.481
128,-17.4642
129,-17.2104
130,-16.9033
131,-16.5317
132,-16.0822
133,-15.5384
134,-14.8804
135,-14.0844
136,-13.1214
137,-11.9563
138,-10.5467
139,-8.8414
140,-6.7782
141,-4.2822
142,-1.2624
143,2.3911
144,6.8111
145,12.1585
146,18.628
147,26.4549
148,35.9241
149,35.9241
150,26.4549
151,18.628
152,12.1585
153,6.8111
154,2.3911
155,-1.2624
156,-4.2822
157,-6.7782
158,-8.8414
159,-10.5467
160,-11.9563
161,-13.1214
162,-14.0844
163,-14.8804
164,-15.5384
165,-16.0822
166,-16.5317
167,-16.9033
168,-17.2104
169,-17.4642
170,-18.6741
171,-18.6741
172,-18.6741
173,-18.6741
174,-18.6741
175,-18.6741
176,-18.6741
177,-18.6741
178,-18.6741
179,-18.6741
180,-18.6741
181,-18.6741
182,6.3259
183,6.3259
184,6.3259
185,6.3259
186,6.3259
187,6.3259
188,6.3259
189,6.3259
190,6.3259
191,6.3259
192,6.3259
193,6.3259
194,6.3259
195,6.3259
196,6.3259
197,6.3259
198,6.3259
199,6.3259
200,6.3259
201,6.3259
202,6.3259
203,6.3259
204,6.3259
205,6.3259
206,34.8066
207,34.6752
208,34.5285
209,34.3645
210,34.1812
211,33.9763
212,33.7474
213,33.4917
214,33.2058
215,32.8863
216,32.5294
217,32.1304
218,31.6846
219,31.1864
220,30.6296
221,30.0074
222,29.3121
223,28.535
224,27.6667
225,26.6963
226,25.6118
227,24.3999
228,23.0456
229,21.5322
230,19.8408
231,17.9507
232,15.8385
233,13.4781
234,10.8403
235,7.8925
236,4.5982
237,0.9168
238,-3.1972
239,-7.7947
240,-12.9325
241,-18.6741
242,-18.6741
243,-18.6741
244,-18.6741
245,-18.6741
246,-18.6741
247,-18.6741
248,-18.6741
249,-18.6741
250,-18.6741
251,-18.6741
252,-18.6741
253,-18.6741
254,-18.6741
255,-18.3237
