index,value
0,269.0
1,321.0
2,585.0
3,871.0
4,1475.0
5,2821.0
6,3928.0
7,5943.0
8,4950.0
9,2577.0
10,523.0
11,98.0
12,184.0
13,279.0
14,409.0
15,2285.0
16,2685.0
17,3409.0
18,1824.0
19,409.0
20,151.0
21,45.0
22,68.0
23,213.0
24,546.0
25,1033.0
26,2129.0
27,2536.0
28,957.0
29,361.0
30,377.0
31,225.0
32,360.0
33,731.0
34,1638.0
35,2725.0
36,2871.0
37,2119.0
38,684.0
39,299.0
40,236.0
41,245.0
42,552.0
43,1623.0
44,3311.0
45,6721.0
46,4254.0
47,687.0
48,255.0
49,473.0
50,358.0
51,784.0
52,1594.0
53,1676.0
54,2251.0
55,1426.0
56,756.0
57,299.0
58,201.0
59,229.0
60,469.0
61,736.0
62,2042.0
63,2811.0
64,4431.0
65,2511.0
66,389.0
67,73.0
68,39.0
69,49.0
70,59.0
71,188.0
72,377.0
73,1292.0
74,4031.0
75,3495.0
76,587.0
77,105.0
78,153.0
79,387.0
80,758.0
81,1307.0
82,3465.0
83,6991.0
84,6313.0
85,3794.0
86,1836.0
87,345.0
88,382.0
89,808.0
90,1388.0
91,2713.0
92,3800.0
93,3091.0
94,2985.0
95,3790.0
96,674.0
97,81.0
98,80.0
99,108.0
100,229.0
101,399.0
102,1132.0
103,2432.0
104,3574.0
105,2935.0
106,1537.0
107,529.0
108,485.0
109,662.0
110,1000.0
111,1590.0
112,2657.0
113,3396.0
