index,value
0,97786.14
1,97843.99
2,97907.97
3,97837.58
4,97794.43
5,97777.03
6,97723.04
7,97740.01
8,97654.11
9,97727.99
10,97782.38
11,97672.48
12,97624.0
13,97654.06
14,97629.98
15,97663.99
16,97660.0
17,97708.84
18,97649.12
19,97611.62
20,97536.88
21,97531.1
22,97588.01
23,97648.0
24,97805.86
25,97786.29
26,97746.45
27,97780.54
28,97846.16
29,97926.08
30,97883.64
31,97930.33
32,97945.15
33,97994.62
34,97986.78
35,97970.55
36,98049.99
37,97956.02
38,97922.45
39,97922.2
40,97835.5
41,97807.52
42,97714.28
43,97788.0
44,97775.6
45,97741.82
46,97642.06
47,97586.97
48,97548.76
49,97565.28
50,97578.26
51,97563.35
52,97586.97
53,97618.15
54,97686.0
55,97655.76
56,97588.0
57,97555.86
58,97539.99
59,97550.45
60,97434.05
61,97335.03
62,97285.47
63,97287.55
64,97390.97
65,97215.99
66,97098.24
67,96956.02
68,97039.41
69,97002.52
70,97148.0
71,97109.85
72,97081.61
73,97057.9
74,97181.42
75,97107.75
76,97084.78
77,97030.44
78,97041.97
79,97115.38
80,97129.95
81,97048.11
82,97063.98
83,97046.47
84,97094.96
85,97148.79
86,97152.0
87,97259.99
88,97299.52
89,97272.0
90,97325.59
91,97207.35
92,97160.01
93,97144.0
94,97191.98
95,97261.51
96,97182.99
97,97248.38
98,97276.01
99,97216.0
100,97240.0
101,97219.49
102,97205.23
103,97281.45
104,97227.75
105,97362.52
106,97426.08
107,97403.49
108,97334.78
109,97419.72
110,97450.0
111,97452.0
112,97459.99
113,97456.53
114,97482.03
115,97487.99
116,97457.98
117,97486.95
118,97498.95
119,97547.82
120,97537.74
121,97531.02
122,97579.99
123,97533.89
124,97586.04
125,97588.87
126,97656.25
127,97663.99
128,97656.25
129,97667.1
130,97607.71
131,97552.18
132,97594.01
133,97625.49
134,97610.16
135,97602.87
136,97488.98
137,97448.69
138,97464.21
139,97463.98
140,97433.7
141,97428.01
142,97421.54
143,97451.9
144,97547.08
145,97589.51
146,97608.0
147,97590.52
148,97611.82
149,97616.73
150,97616.73
151,97596.21
152,97509.31
153,97463.32
154,97531.82
155,97503.04
156,97488.68
157,97396.73
158,97414.39
159,97449.53
160,97336.3
161,97382.9
162,97368.63
163,97449.53
164,97427.58
