index,value
0,22262.0
1,21756.0
2,22247.0
3,22759.0
4,22549.0
5,22313.0
6,22128.0
7,21860.0
8,21751.0
9,21336.0
10,21363.0
11,22176.0
12,24649.0
13,27466.0
14,31020.0
15,33529.0
16,35428.0
17,36034.0
18,36834.0
19,37296.0
20,37338.0
21,37608.0
22,37692.0
23,37944.0
24,37880.0
25,37493.0
26,37065.0
27,36855.0
28,36871.0
29,36837.0
30,36603.0
31,36982.0
32,37369.0
33,37650.0
34,37413.0
35,36475.0
36,35486.0
37,34452.0
38,33704.0
39,32883.0
40,31940.0
41,32215.0
42,32572.0
43,32850.0
44,32251.0
45,30895.0
46,28460.0
47,26572.0
48,25093.0
49,24320.0
50,24684.0
51,25338.0
52,24943.0
53,24637.0
54,24424.0
55,24163.0
56,23943.0
57,23324.0
58,23412.0
59,24065.0
60,26035.0
61,28632.0
62,32023.0
63,34315.0
64,35927.0
65,36367.0
66,37087.0
67,37184.0
68,37009.0
69,37212.0
70,37531.0
71,37890.0
72,37982.0
73,37540.0
74,37160.0
75,36920.0
76,37060.0
77,36930.0
78,36640.0
79,36910.0
80,37220.0
81,37530.0
82,37320.0
83,36331.0
84,35206.0
85,34203.0
86,33273.0
87,32376.0
88,31838.0
89,31211.0
90,31505.0
91,31838.0
92,32185.0
93,30881.0
94,28800.0
95,26833.0
96,25095.0
97,24437.0
98,24697.0
99,25259.0
100,25029.0
101,24806.0
102,24437.0
103,24279.0
104,23902.0
105,23418.0
106,23424.0
107,24094.0
108,26039.0
109,28636.0
110,32034.0
111,34235.0
112,35694.0
113,35978.0
114,36475.0
115,36675.0
116,36720.0
117,36842.0
118,36890.0
119,36917.0
120,36854.0
121,36525.0
122,36431.0
123,36212.0
124,36061.0
125,35931.0
126,35835.0
127,36148.0
128,36523.0
129,36859.0
130,36731.0
131,35804.0
132,34721.0
133,34035.0
134,33234.0
135,32532.0
136,31474.0
137,31957.0
138,32500.0
139,32586.0
140,31917.0
141,30636.0
142,28705.0
143,26707.0
144,25092.0
145,24412.0
146,24714.0
147,25079.0
148,24904.0
149,24380.0
150,24009.0
151,23913.0
152,23657.0
153,23262.0
154,23283.0
