index,value
0,47.0
1,64.0
2,23.0
3,71.0
4,38.0
5,64.0
6,55.0
7,41.0
8,59.0
9,48.0
10,71.0
11,35.0
12,57.0
13,40.0
14,58.0
15,44.0
16,80.0
17,55.0
18,37.0
19,74.0
20,51.0
21,57.0
22,50.0
23,60.0
24,45.0
25,57.0
26,50.0
27,45.0
28,25.0
29,59.0
30,50.0
31,71.0
32,56.0
33,74.0
34,50.0
35,58.0
36,45.0
37,54.0
38,36.0
39,54.0
40,48.0
41,55.0
42,45.0
43,57.0
44,50.0
45,62.0
46,44.0
47,64.0
48,43.0
49,52.0
50,38.0
51,59.0
52,55.0
53,41.0
54,53.0
55,49.0
56,34.0
57,35.0
58,54.0
59,45.0
60,68.0
61,38.0
62,50.0
63,60.0
64,39.0
65,59.0
66,40.0
67,57.0
68,54.0
69,23.0
