index,value
0,3.0
1,20.0
2,62.0
3,155.0
4,229.0
5,322.0
6,453.0
7,655.0
8,888.0
9,1128.0
10,1694.0
11,2036.0
12,2502.0
13,3089.0
14,3858.0
15,4636.0
16,5883.0
17,7375.0
18,9172.0
19,10149.0
20,12462.0
21,12462.0
22,17660.0
23,21157.0
24,24747.0
25,27980.0
26,31506.0
27,35713.0
28,41035.0
29,47021.0
30,53578.0
31,59138.0
32,63927.0
33,69176.0
34,74386.0
35,80589.0
36,86498.0
37,92472.0
38,97689.0
39,101739.0
40,105792.0
41,110574.0
42,115242.0
43,119827.0
44,124632.0
45,128948.0
46,132547.0
47,135586.0
48,139422.0
49,143626.0
50,147577.0
